RowId,TypKarty,TxnKod,TxnData,TxnCzas,DataPrzetw,CTLS,PIN,CB,ProductID,MC_Card_Program,MC_GCMS_Program,MC_Product_Class,PEM,MOTO,TypeClass,TypePayment,Region,Country,anon_MID,anon_POS_ID,anon_NrKarty,anon_AuthKod,anon_Kwota,anon_Interchange,anon_MSC,anon_FlatFee,anon_CashAmount,PartnerId,Status,ModifiedDate,CreatedDate,MCC,LocCity,LocZipCode,CorCity,CorZipCode,CASHBACK_A,DCCMarkup,DCCRebate,anon_Eid,anon_ContractEid,anon_Name,MCC_Code,MCC_VISA_report_name,Code,ZipCode,Lat,Lon,ZipCodeLoc
15863,V,2012,20180801,142719,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,271866a46ec03d754972a1a657236088,d7d020784868fcd97c52348d65ced418,e35d08d41f5a095fb02f3fd801026973,OZMFPM,12.40,-0.02,1.00,0.00,0.00,12,2,2017-09-07,2014-12-15,5921,Warszawa (Praga-Północ),03736,WARSZAWA,03736,0,350,1.000,271866a46ec03d754972a1a657236088,cc27fb53ae53270218f43c683138c8b9,c2db33cdfa132eaa515ac4df1c41dba2,5921,Food & Drink,9,03-736,52.2547731761564,21.0436660729974,03736
16198,V,2012,20180801,192931,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,8dd71383279e1ea519fae084d776cd68,87d09abbf4ee8f5cd067f69a41efeb52,98824dbf553298c0c396b1dddadd13e0,NHCWZS,3.99,-0.01,1.00,0.00,0.00,1,1,2018-07-10,2016-12-07,5921,Warszawa (Ursynów),02784,Warszawa (Ursynów),02784,0,350,1.000,8dd71383279e1ea519fae084d776cd68,57cf126fc6f5e2df8ef0f61df66a0267,a21e4c73ab57730b7d6385ce5e63a9e0,5921,Food & Drink,9,02-784,52.1534202258064,21.025101573133,02784
16314,V,2012,20180801,073806,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,8dd71383279e1ea519fae084d776cd68,87d09abbf4ee8f5cd067f69a41efeb52,e5bd2eb8885ee0f7a17604311882e9b4,ESMDUD,4.32,-0.01,1.00,0.00,0.00,1,1,2018-07-10,2016-12-07,5921,Warszawa (Ursynów),02784,Warszawa (Ursynów),02784,0,350,1.000,8dd71383279e1ea519fae084d776cd68,57cf126fc6f5e2df8ef0f61df66a0267,a21e4c73ab57730b7d6385ce5e63a9e0,5921,Food & Drink,9,02-784,52.1534202258064,21.025101573133,02784
7268,V,2012,20180801,075807,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,ad4043b52165684158bf5a18b3ca30ca,a9881cf0888e89156cb460c868384455,ff240c5629bb94f5fde4f1f701d3c1f1,JFZKVJ,4.08,-0.01,1.00,0.00,0.00,1,2,2018-03-30,2018-03-30,5331,Warszawa (Włochy),02457,Sulejówek,05071,2,350,1.000,ad4043b52165684158bf5a18b3ca30ca,d8908c9e7fdf9bf54fef449bc48c584a,3a25ffe623c5d266f2d3a7f811d854b5,5331,General Retail & High Street,10,02-457,52.2004538978868,20.9277072444046,02457
14875,V,2012,20180801,123145,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,15694c7941a419539b6682772fbe69d8,75154f1de7be3d4e56ee360af7421fb4,b4447ab5fcde75a6560b3bb33434ae2d,WOWGYW,316.00,-0.63,1.00,0.00,0.00,1,2,2018-07-24,2015-06-24,5211,Warszawa (Wilanów),02972,Warszawa,02972,0,350,1.000,15694c7941a419539b6682772fbe69d8,88862bc9eb0e546f55d4842eee7d7c72,23fb4a60ade76b9f2c8b37a76dfea557,5211,Building Materials & Services,3,02-972,52.1615427887956,21.0724523890243,02972
15007,V,2012,20180801,114231,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,89eca72fe67657d0225449e705029411,6bebcf0706b8fa653b1c1af8cb343758,f1e1c3bc78587dfa6b6068f360ecb9e4,TTNUCC,14.00,-0.03,1.00,0.00,0.00,1,1,2018-02-05,2012-04-10,7999,Warszawa (Mokotów),02511,Warszawa (Mokotów),02511,0,350,1.000,89eca72fe67657d0225449e705029411,21b833cc17f73ecb0c2a171c62c60f89,83e948e51c434bcbdbb759255c65c152,7999,Entertainment,7,02-511,52.1997394246852,21.0256531551367,02511
15215,V,2012,20180801,151528,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,40c1ab1a4e405944d10c9e4b756d2ec0,3443894fee7f7ab7f5f1549ef561ad27,539698104aefcf6740a9e72339c8210f,OOUCQF,8.00,-0.02,1.00,0.00,0.00,1,1,2018-07-29,2018-04-17,5462,Warszawa (Ochota),02127,SULEJÓWEK,05071,0,350,1.000,40c1ab1a4e405944d10c9e4b756d2ec0,441e92fb40697e803df58960d596bde7,80bf30b60da077ad1ca3279f7a30899e,5462,Food & Drink,9,02-127,52.198488146768,20.9774299979948,02127
15878,V,2012,20180801,191229,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,e80de303f1584df39883dd1ee5d75726,f94fe8d18a2193b1a8822ebdbbb10dc8,d2cdac128bef7156315d512238974193,OFVKNS,12.04,-0.02,1.00,0.00,0.00,1,2,2016-03-22,2014-10-09,5812,Warszawa (Praga-Południe),03905,Warszawa (Praga-Południe),03905,0,350,1.000,e80de303f1584df39883dd1ee5d75726,448c8217431be5bc0138d39f68bd4192,05118992674dbd8d9c75fe44e0e7db45,5812,Restaurants,20,03-905,52.2360517407077,21.0530180192458,03905
9091,V,2012,20180801,144850,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,9cbec3bd8be453c9f5b2eb892c6a6792,60b26cc8730a95b63ee478d9f48dd5da,080d79d14fdb48b7849d52f271ddd9c0,NURZSX,15.20,-0.03,1.00,0.00,0.00,1,2,2017-10-31,2015-07-07,5812,Warszawa (Wola),00891,Warszawa (Wola),00891,0,350,1.000,9cbec3bd8be453c9f5b2eb892c6a6792,8da01d0a09b2489c8ac1b4654ab944d2,16d71fde84d3de74ff11cca74aa2a2ea,5812,Restaurants,20,00-891,52.2378689305383,20.9919858690998,00891
9721,V,2012,20180801,133056,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,9cca1fdddc77bd8803e0786c44ad0aa9,cccd06273e4ae72d255bd57c1d592248,8799947064d1974249ca345bf6856f25,ZUWLEZ,1.56,0.00,1.00,0.00,0.00,1,2,2018-03-19,2016-08-02,5462,Warszawa (Praga-Południe),03953,Mińsk Mazowiecki,05300,0,350,1.000,9cca1fdddc77bd8803e0786c44ad0aa9,a757c3ec59f0e4b0d9c191be53498f05,8cbeae5667b0b7e14bbe59822bdcf15b,5462,Food & Drink,9,03-953,15.482197,-87.9798717,03953
