PartnerId,Status,ModifiedDate,CreatedDate,Device,Application,InstalledDate,DeinstalledDate,Connectiv,DCC,ZWROT,PREAUTOR,UNIEWAZ,CASHBACK_A,CONTACTLES,CZASRT,DOWNLOAD,TPWOB,anon_Eid,anon_ParentEid,anon_Name,anon_Logo
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,2,1,0104,0114,0,467978967f2e551421ab8ba1c5ad0d7b,d0140994eac1a217b6c563a1cfe5ecbe,49ac40dc1b6063758c044dcd0c77eb97,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,1,1,0,1,0405,0425,0,7bc11d370d0450b0a7a0fc1d5f9f267a,b6de1904641c2a6557fcd0bc3c454410,ca76fba48d129dc693058b2d0c3eb1ff,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0235,0340,0,5f13589d8bbdd2717004d7ccdde25907,aa664700355b0d214f57b9b876e83c72,2fcffc7577bfa6f117756d1dc0a15c4c,242be10812b73ea3b2894dba311f738d
12,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,2300,2320,0,3e326ffdca49b063da3cd0b985903c6b,e73e3b7bf65bb35fb9905e0648e0a1bf,b7cf1c3ef0cc6e7d34225877d13a63d7,242be10812b73ea3b2894dba311f738d
6,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0300,0355,0,8cf76e16f3bc5bafe6e62799365486ef,c5e54f04a707996946913f97a0c5c6b5,1304a13e76a67bbcca3a22e787a131f8,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0046,0046,0,815651b4f266fb10bedc09c42fd25b3f,feac13a9542293597ee45f56dd62df63,c80a704a1a70159df56819539b4af1dd,242be10812b73ea3b2894dba311f738d
9,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,EFT930S,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0140,0150,0,987a38c9d7ee8948c0b3657853d5b2a4,6b04113b720a7944c4a50c3dcc784f9a,7115570c0e949dc4a56f2ee797bf3489,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0036,0036,0,4ea920f44842c58b2a7274aabc251b06,c3a2cb17c3b7cc27b42216351de650c8,d8c3dc35bdd7b35c510eafe7d19d9bdb,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0056,0056,0,24bd5c294632a0258a1b70d2e70aa765,433d26e895b1d5bdc272ed4b659dad1a,3cf8354392cd0f294a06bde57fb62625,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0018,0018,0,5cfa3e56ad55654fe21ea96eaa1766fa,f1db9f4e80845f355a9e14c26e69b30a,9e70a36991afd0bde5f1f6206ebbebae,242be10812b73ea3b2894dba311f738d
