Segment,KodKraju,Miasto,KodPocztowy,anon_NrKarty,anon_Nazwa,anon_IdKlienta,anon_Plec,anon_DataUr
01,UA,KAMIEŃ-KASZIRSKIJ,44-500,92dab1f73589b751d54db3b322b400a6,f13ffa121b155459d5d2392aae777982,8f37fd3ef1ffd6beacc1a10d1a757752,M,1982-09-19 00:00:00.000
01,PL,BIŁGORAJ,23-400,279060db7e820bb967ddf0bedb3f70d7,88a447922c100857eda937b2191152b9,faa4dc786a13702ce3cc036b4157f051,M,1965-07-14 00:00:00.000
01,PL,BIŁGORAJ,23-400,0b20f1bda72c5bb6dcf6dbb2a4722a55,4d229b43b33ee9f603845c10c789f5a2,ff359e23fedf0f4ae5ed228b96745f06,M,1970-07-30 00:00:00.000
01,PL,LUBLIN,20-214,253cbb81596bc33036a7bc83943f4621,3840acf32270c7c040a1ed22b4c266a7,c190538de994032a5b33b7e83152a7e2,M,1953-11-16 00:00:00.000
01,KZ,ASTANA,000000,3fce8ee4be699a3e0bebb3d1b5d35b06,bbf3386b67d242cf041dd27e4da56027,bc005d9b387ffbbaa35c51de4fc709aa,M,1948-02-13 00:00:00.000
01,PL,TRAWNIKI,21-044,438608a8d52097f054d4f7e37ccd2b3a,93a9c8192e41e9e1391ff6d77bae2e4c,e44312d59d1c76b4490233c2a9cf147c,M,1970-06-27 00:00:00.000
01,PL,LUBLIN,20-053,dd96531fbd2f426199e8e659b12217cf,58a91ad84b5917918f28177a7710df1a,5386eebb5d0e9bf4de16f3933a27e428,M,1958-10-04 00:00:00.000
01,PL,DZIAŁDOWO,13-200,6858c96780dc79bdb3ccc0e7cb7629c9,c3a909b9f29f39ab80678b410f752790,2cc5f406aed88f4975588bb8ef24dd32,M,1974-01-06 00:00:00.000
01,PL,DZIAŁDOWO,13-200,069be02c1fadff7c528e354cba33760d,0d473b81a2864b0df02bb8a42a8dabb6,1bb783f457ae2ecf08e08696248b9719,M,1972-07-07 00:00:00.000
01,PL,MŁAWA,06-500,b6dec6e63ca20cf5361b506c42caf088,ee412c803d57e4177534e98f0ed2472d,65839e9ff3132eeadf74cdc8bb38ff69,M,1999-04-04 00:00:00.000
01,PL,NOWE MIASTO LUB,13-300,8ea33b0b3bc42539c95cc4df8f34a59f,c75a3984e6607ff19b4181905d0e5e56,5379e39941aaf47964820fba36ee186a,M,1984-01-03 00:00:00.000
01,PL,DZIAŁDOWO,13-200,eca6abccba733df36138fe8fc75ab344,f653dcb8c85e0044ec9916ed10276e26,cfee60da46a5c6258c1816d6dbc11290,M,1993-06-14 00:00:00.000
01,PL,DZIAŁDOWO,13-200,1e8a00df7192f01532a52fdabfd6e0ca,1d145e17a0f60250dcc6676fa8b20658,1818b3d3a4dbdd57997786cf0b43c9b6,M,1988-04-09 00:00:00.000
01,PL,DZIAŁDOWO,13-200,60e7ca8aeebe86387c65c30743a1ccf1,fd53572d6dab701e686f50060145675c,4493350dadfa15954812f7b96c137028,M,1948-02-05 00:00:00.000
01,PL,DZIAŁDOWO,13-200,5af4b7ffba4bc1be2b387aff4a3d9a0e,f7225429f91cd268df7e6bca18daea4b,ca6beac4881ddf8795cf5d3cb7890aae,M,1995-06-10 00:00:00.000
01,PL,POZNAŃ,60-461,746463fd49c65939578a8c36017013b4,829486eed35b711ff03f525d50530883,f778ad401fa965db3cc772d6224df858,M,1997-12-08 00:00:00.000
03,PL,DZIAŁDOWO,13-200,153a027a02a31f472970797153af1101,b866b6a5b540f0fbf76a464d12aa7355,57a15bacafd113ff443e7eaab1833b5e,M,1987-07-16 00:00:00.000
01,PL,UZDOWO,13-214,5bb3753c21d4acefc9e1d488a302a52a,c9663ae3162d0ec0f979e685fc64d315,581d7847a2c5b08ba60416f494e452fe,M,1993-07-13 00:00:00.000
03,PL,DZIAŁDOWO,13-200,b5f481c250bfd89db5dcca9fff25df24,5d0ebd79af41f6d7da83d5e6aadd9dbe,5d2d04919ecc0e7983847ee4a9db7cc5,M,1970-04-06 00:00:00.000
01,PL,DZIAŁDOWO,13-200,1aec03226d7870cf57d94a8858559f8a,37d61c256390e0e3f21625e48369c5f8,6bf116233b90350eb6e1e4e67b7a9c32,M,1967-01-11 00:00:00.000
01,PL,PIWNICZNA ZDRÓJ,33-350,6e080012df9c7eef289bc4bec80e99bd,7ac01c48469c519e2ae1704db00d886f,94f3bdc650b639898c6635ea43eaea13,M,1992-01-17 00:00:00.000
01,PL,MARCINKOWICE,33-393,fecd6331643fa0778e5e96388fe860f1,3777aaef0e90d143a96e54a85e38209b,f57323ec15e7e318c5b877387e086e16,M,1974-01-09 00:00:00.000
01,PL,NOWY SĄCZ,33-300,5e5b983ee691befdd00600ac0a10e04c,6808baf6151f1e8ab36d00dbb634361e,a02a51372b51dd1dc720c47a783e4b7c,M,1951-06-05 00:00:00.000
01,PL,KLĘCZANY,33-394,40d941cc1137e943ee2645c8f5ec0e0b,01fb1a412c57ab27b66a86b4df71219e,dc4caa8c595f7a1e2980af800e69fc3d,M,1985-12-16 00:00:00.000
03,PL,STRÓZE,33-331,b9afa423cce76a9130f4a82d92d18c0c,4b3590d9687370ec96198502c4570eb2,ff85db320276eea17a98fa4f463e35a8,M,1956-03-27 00:00:00.000
01,PL,PTASZKOWA,33-333,eb842d289b971fb32a51c2eeaef30622,e84305c30c9f808282863ded2486c0ee,12d0b459bc3ca5d90717212eaf340169,M,1966-05-19 00:00:00.000
01,PL,NOWY SĄCZ,33-300,389f81581bdcaa7a07cde85a05b6aa61,0cd654fa833ece3ffb2ed00916242d92,9c877122b71df29ef0a9655e108e467c,M,1985-11-24 00:00:00.000
01,PL,NOWY SĄCZ,33-300,c9a7e56dcb6ecbfa5bbc50a8b335ce43,1ea5569b79bd7518a909497eae92710c,d7e65d7ed2a513c583800ad29a550d2e,M,1945-08-22 00:00:00.000
01,PL,NAWOJOWA,33-335,04ab565a81c9f2fd23b8751e3b784970,17a8bdc545b77ffa852694ab11b3582f,063f3148b3b4dc8396e5e06dab848f0b,M,1983-11-01 00:00:00.000
01,PL,NOWY SĄCZ,33-300,ddcb12e067e832e0f8e776fbb55884a7,74bc5e481c0b6882f9f4b4d3cab12d38,2523122071df91cc59bd640a90521296,M,1964-08-31 00:00:00.000
01,PL,STRÓŻE,33-331,7a229f238330ae70bda0da420022d997,a333565675d535f3fc9f921303485083,cc11dd3cd8098019ea8cdfeea4fd5703,M,1992-11-19 00:00:00.000
01,PL,NOWY SĄCZ,33-300,f5a97957ac527f2b13d6846ef88cdcc2,4d6adef38ac9c41946663bc81efcca08,b96663743bdd6d60f545a80d1ede4d6b,M,1998-10-17 00:00:00.000
01,PL,RYTRO,33-343,6c867a7f4b780452c66fb5b9064fa20e,ce20100fe89d5d8a76cc70815531f51e,7caff9676915ff9141dc98deecf17814,M,1955-05-07 00:00:00.000
01,PL,NOWY SACZ,33-300,4d57e4b7edb6472490f08b0d69aa7b6c,51c5a6b112f09646994a985c36193fdf,764fce655a46ac16c2504450497038ac,M,1985-12-15 00:00:00.000
01,PL,JAZOWSKO,33-389,d0c51df56938085ee4d8b7cbc00198b5,a4fc31a7e5dd14119e93b0ac2d83f670,c3d5e6d720a45f9b911bee3c789e19a2,M,1951-03-29 00:00:00.000
01,PL,ŁABOWA,33-336,d04d4ab6cf902c256b77f7ee9d2e5914,118f31bd1e4b5165c221319fc1033b2c,93efd2e2a5f53d67b2e97510a5c8f620,M,1985-10-17 00:00:00.000
01,PL,WROCLAW,54-128,ae4ab6472ddf373ae764cd8a3d6278a9,858f3002bfdf46cb40668d27bdaaeeb7,5a54798e5eddf72e28d50c79f9d8b8bf,M,1999-03-13 00:00:00.000
01,PL,WROCŁAW,54-107,626aaeefc304f8702aa0f5b4a652cf08,11653a835ebcf2796b2c4a1df88cd904,aeb4017fb2f34f4a640372388cb94c1a,M,1987-10-28 00:00:00.000
01,PL,WROCŁAW,52-244,03cbc23ad891b88d372d9c7eee4e2897,dcf0ea4ed9acea28cea77bddb14f5182,10fa66a6c32ec27d61c16a3fbe960460,M,1975-06-03 00:00:00.000
01,PL,WAŁBRZYCH,58-309,d9776fd8579a23b85071f7f979a43ce3,b91afdaf8bb0feebfec61f3eb84d1edb,d2958d7c386a148daefb13153de731f8,M,1954-10-22 00:00:00.000
